Method,Split,Samples,R2,RMSE,MAE,Loss
GIN-TL-Start,Train,454,0.8847,0.3682,0.2724,0.1150
GIN-TL-Start,Val,65,0.7835,0.5013,0.3846,0.2132
GIN-TL-Start,Test,59,0.7426,0.5461,0.4167,0.2530
