Method,Split,Samples,R2,RMSE,MAE,Loss
GIN-TL-Rand,Train,462,0.6955,0.5984,0.4559,0.3038
GIN-TL-Rand,Val,58,0.6162,0.6668,0.5512,0.3772
GIN-TL-Rand,Test,58,0.3564,0.8635,0.6354,0.6325
