Method,Split,Samples,R2,RMSE,MAE,Loss
GNN-TL-Start,Train,454,0.6964,0.5975,0.4681,0.3029
GNN-TL-Start,Val,65,0.7271,0.5627,0.4491,0.2687
GNN-TL-Start,Test,59,0.6344,0.6509,0.4851,0.3594
