Method,Split,Samples,R2,RMSE,MAE,Loss
GNN-TL-Rand,Train,462,0.6993,0.6185,0.4718,0.3001
GNN-TL-Rand,Val,58,0.6037,0.7046,0.5726,0.3895
GNN-TL-Rand,Test,58,0.3669,0.8905,0.6573,0.6222
