RDKIT_SMILES,SMILES,MHFP,first_class,second_class,type,num
FC(F)(F)C(F)(F)C(F)(C(F)(F)F)C(F)(C(F)(F)F)C(F)(F)F,FC(F)(F)C(F)(F)C(F)(C(F)(F)F)C(F)(C(F)(F)F)C(F)(F)F,[ 79523974 411855570 107816900 ... 244759987  68472071 136136366],Other PFASs,Perfluoroalkanes,4,163
O=S(=O)(OCC(F)(F)C(F)(F)C(F)(F)F)C(F)(F)F,FC(F)(F)C(F)(F)C(F)(F)COS(=O)(=O)C(F)(F)F,[ 35941647  73299756  17313015 ...  25029786 117586279  46460802],Polyfluoroalkyl acids,PolyFSA derivatives,3,164
COC(=O)C(F)(F)C(F)(F)OC(F)(C(F)(F)F)C(F)(F)F,COC(=O)C(F)(F)C(F)(F)OC(F)(C(F)(F)F)C(F)(F)F,[   853465 152319334 107816900 ... 274242922 101296679 151237944],Polyfluoroalkyl acids,PolyFCA derivatives,3,165
C[Si](C)(Cl)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,C[Si](C)(Cl)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,[ 67657760 104111782  97181807 ... 171882282  43796935 151237944],Other PFASs,Si PFASs,4,166
CN(CC(=O)O)S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,[K+].CN(CC([O-])=O)S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,[250618452  33988699  17313015 ...  12307671 138388023 110011752],PFAA precursors,PASF-based substances,2,167
CC(CNC(=O)C(F)(F)C(F)(F)C(F)(F)F)c1ccccc1,CC(CNC(=O)C(F)(F)C(F)(F)C(F)(F)F)C1=CC=CC=C1,[ 52392632   8492060 107816900 ... 142966344 110531239  29516144],Other PFASs,Aromatic PFASs,4,168
COc1c2occc2c(OC)c2c(=O)cc(C(F)(F)C(F)(F)C(F)(F)F)oc12,COC1=C2OC=CC2=C(OC)C2=C1OC(=CC2=O)C(F)(F)C(F)(F)C(F)(F)F,[ 46692570 151547136  63689098 ...  44438216 226660855 107724166],Other PFASs,Aromatic PFASs,4,169
O=S(=O)(O)c1ccc(OC(F)(F)C(F)=C(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)cc1,[Na+].[O-]S(=O)(=O)C1=CC=C(OC(F)(F)C(F)=C(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)C=C1,[ 31536811 104111782  17313015 ...  65874932  62452311   9034880],Other PFASs,Aromatic PFASs,4,170
CC(=O)OCCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,CC(=O)OCCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,[ 19469312 104111782  97181807 ...  16631887  43796935 151237944],Polyfluoroalkyl acids,PolyFCA derivatives,3,171
O=P(OCC(F)(F)C(F)(F)C(F)(F)F)(OCC(F)(F)C(F)(F)C(F)(F)F)c1ccccc1,FC(F)(F)C(F)(F)C(F)(F)COP(=O)(OCC(F)(F)C(F)(F)C(F)(F)F)C1=CC=CC=C1,[ 35941647  71278405  95504826 ... 215679073 281920279  46460802],Other PFASs,Aromatic PFASs,4,172
O=S(=O)(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,CCCCCCCCCC[N+](C)(C)CCCCCCCCCC.[O-]S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,[191442385 104111782  17313015 ... 155853978 104129879 151237944],PFAAs,PFSAs,1,173
O=C(NCCS(=O)(=O)O)OCCC(F)(F)C(F)(F)F,"[Na+].[O-]S(=O)(=O)CCNC(=O)OCCC(F)(F)C(F)(F)F |lp:1:3,3:2,4:2,7:1,9:2,10:2,14:3,15:3,17:3,18:3,19:3,Sg:n:15,14,13:3-6:ht|",[ 40109952  33988699  17313015 ... 162477053 281920279  40607062],Other PFASs,others,4,174
CCN(CCO)S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,CCN(CCO)S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,[ 34574211  33988699  17313015 ... 133635739 138388023 151237944],PFAA precursors,PASF-based substances,2,175
O=C(OCC(F)(F)C(F)(F)C(F)(F)F)c1cccc2nnsc12,FC(F)(F)C(F)(F)C(F)(F)COC(=O)C1=C2SN=NC2=CC=C1,[35941647 15617179 78177578 ... 97199264 80125703 46460802],Other PFASs,Aromatic PFASs,4,176
FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)c1cnc[nH]1,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C1=CN=CN1,[ 29778410  30940009    491324 ...  28132466  63876583 151237944],Other PFASs,Aromatic PFASs,4,177
FC(F)(CCI)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)CCI,FC(F)(CCI)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)CCI,[250618452 630087488 107816900 ... 171882282  43796935  24985098],Other PFASs,Polyfluoroalkanes,4,178
FC(F)(F)C(I)C(F)(F)C(F)(C(F)(F)F)C(F)(F)F,FC(F)(F)C(I)C(F)(F)C(F)(C(F)(F)F)C(F)(F)F,[250618452 215423514  27506412 ...  48551759  52429719 151237944],Other PFASs,Polyfluoroalkanes,4,179
O=C(Nc1cccc(F)c1)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,FC1=CC(NC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)=CC=C1,[250618452   8492060  23219950 ...  54552999 111393351 151237944],Other PFASs,Aromatic PFASs,4,180
CCCCCCC(I)CC(F)(F)C(F)(F)C(F)(F)C(F)(F)F,CCCCCCC(I)CC(F)(F)C(F)(F)C(F)(F)C(F)(F)F,[ 38604113   1055672  97181807 ...  58849484  52429719 151237944],Other PFASs,Polyfluoroalkanes,4,181
C[N+](C)([O-])CCCNC(=O)C(F)(F)C(F)(F)C(F)(F)OC(F)(F)C(F)(F)C(F)(F)F,C[N+](C)([O-])CCCNC(=O)C(F)(F)C(F)(F)C(F)(F)OC(F)(F)C(F)(F)C(F)(F)F,[ 71840584   8492060 107816900 ... 144813810  23638503  71007262],Other PFASs,Amide derivatives,4,182
O=P(Cl)(OCC(F)(F)C(F)(F)C(F)(F)F)OCC(F)(F)C(F)(F)C(F)(F)F,FC(F)(F)C(F)(F)C(F)(F)COP(Cl)(=O)OCC(F)(F)C(F)(F)C(F)(F)F,[   758254  71278405  95504826 ... 409277723 154569271  46460802],Other PFASs,others,4,183
FC(=C(F)C(C(F)(F)F)(C(F)(F)F)C(F)(F)F)C(F)(F)C(F)(F)C(F)=C(F)C(C(F)(F)F)(C(F)(F)F)C(F)(F)F,FC(=C(F)C(C(F)(F)F)(C(F)(F)F)C(F)(F)F)C(F)(F)C(F)(F)C(F)=C(F)C(C(F)(F)F)(C(F)(F)F)C(F)(F)F,[250618452   9117216  92943922 ...   2656848  62452311  21624026],Other PFASs,others,4,184
O=P(O)(O)OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,OCCNCCO.OP(O)(=O)OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,[171249045  71278405  95504826 ... 171882282  43796935 130781908],PFAA precursors,n:2 fluorotelomer-based substances,2,185
CCN(CCOP(=O)(O)OCCN(CC)S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,CCN(CCOP(O)(=O)OCCN(CC)S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,[ 34574211  33988699  17313015 ... 136323818  55416695 151237944],PFAA precursors,PASF-based substances,2,186
FC(F)(F)C(F)(F)C(F)(F)C=CI,FC(F)(F)C(F)(F)C(F)(F)C=CI,[214631988 210100429 107816900 ... 330153186  14046279 151237944],PFAA precursors,PolyFAenes,2,187
FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)CCSSCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)CCSSCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,[109716666  49018156  97181807 ... 171882282  43796935 151237944],PFAA precursors,n:2 fluorotelomer-based substances,2,188
FC(F)(F)C(F)(F)C(F)(F)C(CCBr)(C(F)(F)F)C(F)(F)F,FC(F)(F)C(F)(F)C(F)(F)C(CCBr)(C(F)(F)F)C(F)(F)F,[250618452 138756634  92943922 ...  92201024 281920279 151237944],Other PFASs,Polyfluoroalkanes,4,189
CCCCCCCCCCCCCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,CCCCCCCCCCCCCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,[250618452 104111782  97181807 ...  16631887  43796935 151237944],PFAA precursors,HFCs,2,190
