SMILES,MHFP,first_class,second_class,type,num_id,chain_type,carbon_chain_length,ring_size,functional_group,CF2,CF3,CFX,cf_length,group_id
FC(F)(F)C(F)(F)C(F)(F)C(F)(F)CCCCBr,[250618452 104111782  97181807 ...  16631887 223519367 151237944],Other PFASs,Polyfluoroalkanes,4,1964,straight,8,,Halogen,3,1,0,4,Other PFASs_Polyfluoroalkanes_straight_8.0_Halogen_NA_CF2_3_CF3_1_CFX_0
O=C1C2C3C=CC(C3)C2C(=O)N1OS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,[250618452 107055568  17313015 ...  87223440  40311735  29302852],"PFAA precursors, cyclic","PASF-based substances, cyclic",2,1965,cyclic,,5,Amine,3,1,0,4,"PFAA precursors, cyclic_PASF-based substances, cyclic_cyclic_NA_Amine_5.0_CF2_3_CF3_1_CFX_0"
Fc1c(F)c(C(F)(C(F)(F)F)C(F)(F)F)c(F)c(F)c1C(Cl)(Cl)Cl,[111000236  11012944 232751249 ...  44070976 391690167 169374042],Other PFASs,Aromatic PFASs,4,1966,cyclic,,6,Halogen,0,2,5,7,Other PFASs_Aromatic PFASs_cyclic_NA_Halogen_6.0_CF2_0_CF3_2_CFX_5
O=C(O)C(C(F)(F)F)(C(F)(F)F)C(F)(C(F)(F)F)C(F)(F)C(F)(F)F,[250618452  93916380  92943922 ... 240306396  68472071  73407762],PFAAs,PFCAs,1,1967,branched,8,,Carboxylic Acid,1,4,1,6,PFAAs_PFCAs_branched_8.0_Carboxylic Acid_NA_CF2_1_CF3_4_CFX_1
FC(F)(F)C(F)(F)C(F)(F)C(F)(F)CC(I)CCCC(I)CC(F)(F)C(F)(F)C(F)(F)C(F)(F)F,[ 38604113   1055672  97181807 ...  58849484  52429719 151237944],Other PFASs,Polyfluoroalkanes,4,1968,straight,15,,Halogen,6,2,0,8,Other PFASs_Polyfluoroalkanes_straight_15.0_Halogen_NA_CF2_6_CF3_2_CFX_0
OCC(I)=CC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,[162730846 104111782  97181807 ... 330153186  14046279  62965086],PFAA precursors,PolyFAC derivatives,2,1969,straight,9,,Alcohol,5,1,0,6,PFAA precursors_PolyFAC derivatives_straight_9.0_Alcohol_NA_CF2_5_CF3_1_CFX_0
COc1ccc(CCNC(=O)C(F)(F)C(F)(F)C(F)(F)F)cc1OC,[250618452   8492060 107816900 ... 194511214 121324823 151237944],Other PFASs,Aromatic PFASs,4,1970,cyclic,,6,Ether,2,1,0,3,Other PFASs_Aromatic PFASs_cyclic_NA_Ether_6.0_CF2_2_CF3_1_CFX_0
O=C(O)C(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(C(F)(F)F)C(F)(F)F,[149537069 215423514  95264338 ... 244759987  68472071 150964318],PFAAs,PFCAs,1,1971,branched,8,,Carboxylic Acid,2,3,2,7,PFAAs_PFCAs_branched_8.0_Carboxylic Acid_NA_CF2_2_CF3_3_CFX_2
FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,[250618452 104111782  97181807 ... 611624164 281920279 151237944],Other PFASs,Perfluoroalkanes,4,1972,straight,6,,None,4,2,0,6,Other PFASs_Perfluoroalkanes_straight_6.0_Unknown_NA_CF2_4_CF3_2_CFX_0
Nc1ccc(C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)cc1,[250618452  79512453 107816900 ... 321796966 111393351 107724166],Other PFASs,Aromatic PFASs,4,1973,cyclic,,6,Amine,3,1,0,4,Other PFASs_Aromatic PFASs_cyclic_NA_Amine_6.0_CF2_3_CF3_1_CFX_0
Nc1ccccc1C(F)(C(F)(F)F)C(F)(F)F,[138816069  79512453 191833959 ... 215679073 107767783  29516144],Other PFASs,Aromatic PFASs,4,1974,cyclic,,6,Amine,0,2,1,3,Other PFASs_Aromatic PFASs_cyclic_NA_Amine_6.0_CF2_0_CF3_2_CFX_1
O=S(=O)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,[250618452 104111782  17313015 ... 155853978 281920279 151237944],PFAA precursors,PASFs,2,1975,straight,8,,Sulfone,7,1,0,8,PFAA precursors_PASFs_straight_8.0_Sulfone_NA_CF2_7_CF3_1_CFX_0
CCOC(=O)CC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,[ 19469312 104111782  14316170 ... 171882282  43796935 151237944],Polyfluoroalkyl acids,PolyFCA derivatives,3,1976,straight,10,,Ester,5,1,0,6,Polyfluoroalkyl acids_PolyFCA derivatives_straight_10.0_Ester_NA_CF2_5_CF3_1_CFX_0
FC(F)(F)C(F)(F)C(F)(F)C(F)(F)CCOCC1CO1,[250618452 104111782  97181807 ...  67219091 281920279 151237944],"PFAA precursors, cyclic","HFEs, cyclic",2,1977,cyclic,,3,Ether,3,1,0,4,"PFAA precursors, cyclic_HFEs, cyclic_cyclic_NA_Ether_3.0_CF2_3_CF3_1_CFX_0"
C=C(C)C(=O)OCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)F,[  1426846 154242801 107816900 ... 207038152  47326567  22160906],Polyfluoroalkyl acids,PolyFCA derivatives,3,1978,branched,11,,Ester,6,0,0,6,Polyfluoroalkyl acids_PolyFCA derivatives_branched_11.0_Ester_NA_CF2_6_CF3_0_CFX_0
CN(C)CCCNS(=O)(=O)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,[250618452   1815513  17313015 ... 171882282  43796935  27743636],Other PFASs,others,4,1979,straight,13,,Amine,5,1,0,6,Other PFASs_others_straight_13.0_Amine_NA_CF2_5_CF3_1_CFX_0
C=CC(=O)OC(C(F)(F)F)(C(F)(F)F)C(F)(OC(F)(F)C(F)(F)C(F)(F)F)C(F)(F)F,[   853465  90791381 107816900 ... 186412826  23638503  71007262],Polyfluoroalkyl acids,PolyFCA derivatives,3,1980,branched,11,,Ester,2,4,1,7,Polyfluoroalkyl acids_PolyFCA derivatives_branched_11.0_Ester_NA_CF2_2_CF3_4_CFX_1
O=C1c2ccccc2C(=O)c2c(NC(=O)C(F)(F)C(F)(F)C(F)(F)F)cccc21,[78370522  8492060 41603599 ... 54552999 22037863 29516144],Other PFASs,Aromatic PFASs,4,1981,cyclic,,6,Amine,2,1,0,3,Other PFASs_Aromatic PFASs_cyclic_NA_Amine_6.0_CF2_2_CF3_1_CFX_0
OCC(F)(F)OC(F)(F)C(F)(F)OC(F)(F)C(F)(F)OC(F)(F)F,[198202562 196028059  11501872 ... 145799486 101296679  70269816],PFAA precursors,PolyFEACs,2,1982,straight,7,,Alcohol,5,1,0,6,PFAA precursors_PolyFEACs_straight_7.0_Alcohol_NA_CF2_5_CF3_1_CFX_0
FC(F)(F)C(F)(F)C(F)(F)c1cc2ccccc2[nH]1,[  6233941  39139378  63689098 ... 194445692  63876583   5446964],Other PFASs,Aromatic PFASs,4,1983,cyclic,,5,Aromatic,2,1,0,3,Other PFASs_Aromatic PFASs_cyclic_NA_Aromatic_5.0_CF2_2_CF3_1_CFX_0
C=C(C)C(=O)OCC(C)OC(=O)Nc1cc(NC(=O)OCCN(CC)S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)ccc1C,[  1426846  33988699  17313015 ... 136323818 111393351  22160906],Other PFASs,Aromatic PFASs,4,1984,cyclic,,6,Ester,5,1,0,6,Other PFASs_Aromatic PFASs_cyclic_NA_Ester_6.0_CF2_5_CF3_1_CFX_0
CC(=O)Nc1ccc(C(F)(F)C(F)(F)C(F)(F)F)cc1,[250618452 246413116 107816900 ... 176223008  22685495  41236088],Other PFASs,Aromatic PFASs,4,1985,cyclic,,6,Amine,2,1,0,3,Other PFASs_Aromatic PFASs_cyclic_NA_Amine_6.0_CF2_2_CF3_1_CFX_0
C=C1CN(C(C)=O)CC1CC(F)(F)C(F)(F)C(F)(F)C(F)(F)F,[ 43491808   8135080  97181807 ... 159648353  22685495 151237944],"Other PFASs, cyclic","others, cyclic",4,1986,cyclic,,5,Amine,3,1,0,4,"Other PFASs, cyclic_others, cyclic_cyclic_NA_Amine_5.0_CF2_3_CF3_1_CFX_0"
O=S(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,[174296072  67733975  14985936 ... 253630925  31600839 151237944],PFAAs,PFSIAs,1,1987,straight,5,,Sulfoxide,4,1,0,5,PFAAs_PFSIAs_straight_5.0_Sulfoxide_NA_CF2_4_CF3_1_CFX_0
FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)CC[Sn](CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)(CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)c1ccccc1,[ 83248298 104111782  82667786 ...  21131108  43796935 151237944],Other PFASs,Aromatic PFASs,4,1988,cyclic,,6,Aromatic,15,3,0,18,Other PFASs_Aromatic PFASs_cyclic_NA_Aromatic_6.0_CF2_15_CF3_3_CFX_0
O=S(=O)(Cl)c1ccc(C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)cc1,[ 73671004 104111782  16560844 ... 321796966 281920279 107724166],Other PFASs,Aromatic PFASs,4,1989,cyclic,,6,Halogen,6,1,0,7,Other PFASs_Aromatic PFASs_cyclic_NA_Halogen_6.0_CF2_6_CF3_1_CFX_0
C=C(C)C(=O)OCCC(F)(F)C(F)(F)C(F)(F)F,[  1426846 154242801  18439196 ...  15279529 207632695  22160906],PFAA precursors,n:2 fluorotelomer-based substances,2,1990,branched,9,,Ester,2,1,0,3,PFAA precursors_n:2 fluorotelomer-based substances_branched_9.0_Ester_NA_CF2_2_CF3_1_CFX_0
CCCCCC(I)CC(F)(F)C(F)(F)C(F)(F)F,[ 38604113   1055672 107816900 ...  58849484  52429719 151237944],Other PFASs,Polyfluoroalkanes,4,1991,straight,10,,Halogen,2,1,0,3,Other PFASs_Polyfluoroalkanes_straight_10.0_Halogen_NA_CF2_2_CF3_1_CFX_0
CC(C(F)(F)F)(C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)F,[169363306 505728944  92943922 ...  92201024 265190135 151237944],PFAA precursors,HFCs,2,1992,branched,7,,None,2,3,0,5,PFAA precursors_HFCs_branched_7.0_Unknown_NA_CF2_2_CF3_3_CFX_0
O=c1cc(C(F)(F)C(F)(F)C(F)(F)F)[nH]c(=S)[nH]1,[ 73410057  21313982 107816900 ... 194445692  63876583 107724166],Other PFASs,Aromatic PFASs,4,1993,cyclic,,6,Aromatic,2,1,0,3,Other PFASs_Aromatic PFASs_cyclic_NA_Aromatic_6.0_CF2_2_CF3_1_CFX_0
O=S(=O)(OCC(F)(F)C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,[250618452 107055568  17313015 ...  25029786 107222071  24766088],PFAAs,PFSA derivatives,1,1994,straight,7,,Sulfonate Ester,4,2,0,6,PFAAs_PFSA derivatives_straight_7.0_Sulfonate Ester_NA_CF2_4_CF3_2_CFX_0
O=C(F)C1(C(F)(F)F)OC(F)(F)C(F)(C(F)(F)F)O1,[   853465   9635651 108979564 ...  65408281  69108455  68678548],"PFAA precursors, cyclic","PAECFs, cyclic",2,1995,cyclic,,5,Ether,1,2,2,5,"PFAA precursors, cyclic_PAECFs, cyclic_cyclic_NA_Ether_5.0_CF2_1_CF3_2_CFX_2"
FC(F)(F)C(F)(F)C(F)(F)CCCCI,[250618452 320786895 107816900 ...  16631887 281920279  24985098],Other PFASs,Polyfluoroalkanes,4,1996,straight,7,,Halogen,2,1,0,3,Other PFASs_Polyfluoroalkanes_straight_7.0_Halogen_NA_CF2_2_CF3_1_CFX_0
CCCCCCCCCCCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,[250618452 104111782  97181807 ...  16631887  43796935 151237944],PFAA precursors,SFAs,2,1997,straight,24,,None,11,1,0,12,PFAA precursors_SFAs_straight_24.0_Unknown_NA_CF2_11_CF3_1_CFX_0
O=S(=O)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,[250618452  67733975  17313015 ... 253630925 281920279 151237944],PFAA precursors,PASFs,2,1998,straight,5,,Sulfone,4,1,0,5,PFAA precursors_PASFs_straight_5.0_Sulfone_NA_CF2_4_CF3_1_CFX_0
OCC(CSCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)F)SCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)F,[ 26971102  40824953  92825102 ... 401661047 281920279   5639700],PFAA precursors,n:2 fluorotelomer-based substances,2,1999,straight,15,,Alcohol,6,2,0,8,PFAA precursors_n:2 fluorotelomer-based substances_straight_15.0_Alcohol_NA_CF2_6_CF3_2_CFX_0
FC(F)(F)C(F)(F)C(F)(F)C(Cc1ccc(P(c2ccc(CC(C(F)(F)F)(C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)F)cc2)c2ccc(CC(C(F)(F)F)(C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)F)cc2)cc1)(C(F)(F)F)C(F)(F)F,[250618452 194315160  92943922 ...  92201024 281920279  93860188],Other PFASs,Aromatic PFASs,4,2000,cyclic,,6,Aromatic,6,9,0,15,Other PFASs_Aromatic PFASs_cyclic_NA_Aromatic_6.0_CF2_6_CF3_9_CFX_0
O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,[250618452 104111782  87855067 ...  37687752 281920279 151237944],PFAAs,PFCAs,1,2001,straight,19,,Carboxylic Acid,17,1,0,18,PFAAs_PFCAs_straight_19.0_Carboxylic Acid_NA_CF2_17_CF3_1_CFX_0
CCCCCCCCC(I)CC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,[ 38604113   1055672  97181807 ...  58849484  43796935 151237944],Other PFASs,Polyfluoroalkanes,4,2002,straight,20,,Halogen,9,1,0,10,Other PFASs_Polyfluoroalkanes_straight_20.0_Halogen_NA_CF2_9_CF3_1_CFX_0
FC(F)(F)C(F)(F)C(F)(F)c1cncnc1,[250618452  52104900 107816900 ... 176223008 111883495  75983002],Other PFASs,Aromatic PFASs,4,2003,cyclic,,6,Aromatic,2,1,0,3,Other PFASs_Aromatic PFASs_cyclic_NA_Aromatic_6.0_CF2_2_CF3_1_CFX_0
O=S(=O)(CCCNCCO)CCC(F)(C(F)(F)F)C(F)(F)F,[263850574  33988699  17313015 ... 173374004 166016711   2311980],PFAA precursors,PASF-based substances,2,2004,branched,10,,Alcohol,0,2,1,3,PFAA precursors_PASF-based substances_branched_10.0_Alcohol_NA_CF2_0_CF3_2_CFX_1
CCc1cc(C(F)(C(F)(F)F)C(F)(F)F)cc(Cl)c1N,[ 95803767  34348060 232751249 ...  25560912  96667079  11852866],Other PFASs,Aromatic PFASs,4,2005,cyclic,,6,Amine,0,2,1,3,Other PFASs_Aromatic PFASs_cyclic_NA_Amine_6.0_CF2_0_CF3_2_CFX_1
O=S(=O)(Cl)CCC(F)(F)CC(F)(F)C(F)(F)C(F)(F)C(F)(F)F,[115087950  49018156  17313015 ... 225382367 184377319 151237944],PFAA precursors,Sulfonyl chloride,2,2006,straight,8,,Halogen,4,1,0,5,PFAA precursors_Sulfonyl chloride_straight_8.0_Halogen_NA_CF2_4_CF3_1_CFX_0
FC1(F)C(F)(F)C(F)(F)C1(F)F,[ 164775720 1244047753  107816900 ...  611624164  281920279  151237944],"Other PFASs, cyclic","Perfluoroalkanes, cyclic",4,2007,cyclic,,4,None,4,0,0,4,"Other PFASs, cyclic_Perfluoroalkanes, cyclic_cyclic_NA_Unknown_4.0_CF2_4_CF3_0_CFX_0"
O=C(O)c1c(Cl)c(Cl)c(Cl)c(Cl)c1C(=O)Nc1cccc(OS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)c1,[ 29171094 107055568  17313015 ...  25560912  59872263   8690988],Other PFASs,Aromatic PFASs,4,2008,cyclic,,6,Carboxylic Acid,3,1,0,4,Other PFASs_Aromatic PFASs_cyclic_NA_Carboxylic Acid_6.0_CF2_3_CF3_1_CFX_0
COCCOCCOCCOCCOCCOCCOCCOCCOCCOCC(O)CC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,[217845993 104111782  97181807 ... 171882282  43796935  98778836],PFAA precursors,PolyFEACs,2,2009,straight,30,,Alcohol,7,1,0,8,PFAA precursors_PolyFEACs_straight_30.0_Alcohol_NA_CF2_7_CF3_1_CFX_0
CCCCCC=CC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,[216993070   5065065  97181807 ... 200578621  14046279 151237944],PFAA precursors,SFAenes,2,2010,straight,14,,Double bond,6,1,0,7,PFAA precursors_SFAenes_straight_14.0_Unknown_NA_CF2_6_CF3_1_CFX_0
FC(F)(F)C(F)(C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)I,[235162622 215423514  63064138 ...  53870161  53184391 151237944],PFAA precursors,PFAIs,2,2011,branched,15,,Halogen,12,2,1,15,PFAA precursors_PFAIs_branched_15.0_Halogen_NA_CF2_12_CF3_2_CFX_1
COc1ccc(NC(=O)C(F)(F)C(F)(F)C(F)(F)F)cc1,[250618452   8492060 107816900 ...  54552999 100272231 151237944],Other PFASs,Aromatic PFASs,4,2012,cyclic,,6,Ether,2,1,0,3,Other PFASs_Aromatic PFASs_cyclic_NA_Ether_6.0_CF2_2_CF3_1_CFX_0
COc1cccc(C(=O)NN/C(C)=C/C(=O)C(F)(F)C(F)(F)C(F)(F)F)c1,[250618452  48791578  19201563 ...  24651837  89616967  31837104],Other PFASs,Aromatic PFASs,4,2013,cyclic,,6,Ether,2,1,0,3,Other PFASs_Aromatic PFASs_cyclic_NA_Ether_6.0_CF2_2_CF3_1_CFX_0
O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,[250618452 104111782  87855067 ...  37687752 281920279 151237944],PFAAs,PFCAs,1,2014,straight,15,,Carboxylic Acid,13,1,0,14,PFAAs_PFCAs_straight_15.0_Carboxylic Acid_NA_CF2_13_CF3_1_CFX_0
